session_id,feedback
2024-09-13 02:57:16.001226,
2024-09-13 03:02:30.746557,"There were a few mistakes, but they followed what I was asking for the most part. CRS2 did not. "
2024-09-13 03:05:52.842591,
2024-09-16 02:27:59.667796,I thought CRS 1 had an easier time understanding me. I also liked that it gave a longer list and was able to narrow it down. CRS2 kept getting confused so I felt it wasn't very helpful in my task in getting a movie recommendation.
2024-09-16 02:30:52.137582,"CRS 1 had errors or was cyclical, but it at least understood my original prompt and gave me answers relevant to it. Nothing CRS 2 provided was related to my original prompt and some responses were non-sensical. "
2024-09-16 02:33:38.521278,"Neither of these were actually very helpful, I was trying to get more details but it just kept repeating stuff, or not understanding the context. So It didn't seem particularly useful."
2024-09-16 08:59:25.595931,"Both chatbots did not understand my prompts. They made bad recommendations, e.g. 'choose anything between'.  CRS1 explicitly  ignored one of my questions. Neither gave a reason for their recommendations."
2024-09-16 09:01:28.433239,crs 1 remembered the conversation and was mostly able to follow what i asked. did not understand about death in a movie. crs 2 hardly made any sense and could not understand what I was typing. thank you for an interesting study.
2024-09-16 09:05:45.977149,"CRS 1 did not address my request at all correctly.  When I asked for British comedy recommendations, it said it wasn't a big fan of that and it prefers history.  I tried to coach it to give proper responses but the recommendations it did give didn't meet the criteria at all (e.g. Mrs. Doubtfire, which is a U.S. movie not British).  CRS2 gave much better responses.  It made  few mistakes, like giving me a Monty Python suggestion and ""A Fish Called Wanda"" when I had clearly said I'd already seen those and wanted other movies, but after I indicated that, it removed them from the list and gave me a list which for the most part was appropriate.  It also gave me a list of such movies from the 1970s specifically when I asked for that (British comedies), with just a few errors. However, then I persisted in correcting further, it lost track of what it was doing and gave me a few short lists that had nothing to do with what I requested.  But overall, it was certainly far better than CRS1, which was pretty much useless in addressing my request."
2024-09-16 09:12:32.853371,I'm not impressed with either of these. The first one made too many mistakes. The second one didn't even communicate properly. 
2024-09-16 09:15:47.497006,"The first one seemed very lacking in ai iq. The second might not be perfect either, but it seemed to follow instructions decently well."
2024-09-16 09:17:16.328893,"Number one gave more options, the chat bot for number two felt like it was only pushing that one movie and did not give as many options"
2024-09-16 09:20:05.563488,Both were a bit annoying but CRS2 didn't give me a sensible answer so I prefer CRS1 because at least I came out of it with a recommendation 
2024-09-16 09:23:15.142274,Both were poor but CRS2 was the worst. I wouldn't use or recommend these at all because some answers were nonsensical and repetitive.
2024-09-16 09:27:45.490553,"Chat is mostly irresponsive to input. Based on the incompetence, not sure if their recommendations can be trusted."
2024-09-16 09:30:43.626967,They were both equally poor at answering the questions I asked with anything that made sense
2024-09-16 09:34:09.996540,CRS1 answered my questions better with more accurate replies and results. I felt more listened to and also attended to with this as a result.
